,Latitude,Longitude
25422,"-29,174700","27,831100"
25423,"-30,437700","27,730000"
25424,"-31,543315","29,016396"
25425,"-30,859074","29,853843"
25426,"-29,615100","27,565700"
25427,"-31,354780","25,663952"
25428,"-32,096185","28,304888"
25429,"-29,315100","27,486900"
25430,"-28,410979","26,701068"
25431,"-29,315100","27,486900"
25432,"-29,447600","27,722700"
25433,"-28,664489","27,430481"
25434,"-29,515800","28,590200"
25435,"-30,901728","28,992385"
25436,"-29,822400","27,238800"
25437,"-29,350000","27,666700"
25438,"-28,296778","31,590236"
25439,"-31,163040","28,870557"
25440,"-29,315100","27,486900"
25441,"-30,692715","28,505744"
25442,"-30,995291","29,518219"
25443,"-30,142600","27,467400"
25444,"-32,001149","27,580451"
25445,"-30,142600","27,467400"
25446,"-31,897563","26,875329"
25447,"-28,863800","28,047900"
25448,"-29,822400","27,238800"
25449,"-32,834831","27,217424"
25450,"-27,986442","26,706612"
25451,"-31,705228","27,786266"
25452,"-29,315100","27,486900"
25453,"-31,295649","25,823382"
25454,"-30,859074","29,853843"
25455,"-28,863800","28,047900"
25456,"-32,774769","26,633756"
25457,"-27,873939","26,690719"
25458,"-23,836700","25,283800"
25459,"-29,315100","27,486900"
25460,"-29,515800","28,590200"
25461,"-22,328500","24,684900"
25462,"-31,361987","29,573285"
25463,"-30,859074","29,853843"
25464,"-31,543315","29,016396"
25465,"-29,315100","27,486900"
25466,"-28,296778","31,590236"
25467,"-31,622911","29,544772"
25468,"-28,296778","31,590236"
25469,"-30,559500","22,937500"
25470,"-29,610000","28,233600"
25471,"-32,298497","27,143616"
25472,"-29,131052","26,144684"
25473,"-31,566667","29,100000"
25474,"-31,361987","29,573285"
25475,"-28,863800","28,047900"
25476,"-28,863800","28,047900"
25477,"-30,260810","29,940216"
25478,"-30,559500","22,937500"
25479,"-33,011051","27,910049"
25480,"-31,163040","28,870557"
25481,"-29,315100","27,486900"
25482,"-28,863800","28,047900"
25483,"-24,666400","25,532600"
25484,"-28,296778","31,590236"
25485,"-31,163040","28,870557"
25486,"-29,610000","28,233600"
25487,"-31,163040","28,870557"
25488,"-29,315100","27,486900"
25489,"-31,080419","29,495220"
25490,"-31,622911","29,544772"
25491,"-29,822400","27,238800"
25492,"-31,622911","29,544772"
25493,"-30,498640","25,974577"
25494,"-31,622911","29,544772"
25495,"-30,142600","27,467400"
25496,"-27,986442","26,706612"
25497,"-29,610000","28,233600"
25498,"-32,933245","27,776556"
25499,"-31,361987","29,573285"
25500,"-29,287600","29,060500"
25501,"-29,515800","28,590200"
25502,"-31,622911","29,544772"
25503,"-27,986442","26,706612"
25504,"-30,142600","27,467400"
25505,"-32,096185","28,304888"
25506,"-31,606700","28,778100"
25507,"-32,001149","27,580451"
