,latitude,longitude
264,-26.2023,28.0436
265,-29.6505,31.0505
266,-26.0342,27.9222
267,-29.8579,31.0292
268,-29.1333,26.2
269,-27.9426,22.7362
270,-26.2023,28.0436
271,-29.1333,26.2
272,-24.8281,29.838
273,-33.9253,18.4239
274,-26.95,29.25
275,-26.0858,27.7752
276,-29.8579,31.0292
277,-29.8299,30.9916
278,-29.8579,31.0292
279,-28.5587,29.779
280,-28.7226,29.1816
281,-23.351999999999997,29.993000000000002
282,-29.8579,31.0292
283,-29.8579,31.0292
284,-26.95,29.25
285,-33.9981,18.6729
286,-33.9253,18.4239
287,-25.9895,28.1284
288,-26.018,29.1621
289,-29.8579,31.0292
290,-25.7449,28.1878
291,-26.95,29.25
292,-23.8878,30.2871
293,-23.8878,30.2871
294,-25.044,31.1277
295,-34.0582,18.6384
296,-25.8556,25.6367
297,-33.804,25.58
298,-29.535999999999998,31.214000000000002
299,-26.1086,28.2377
300,-29.8579,31.0292
301,-26.0355,28.0655
302,-29.8579,31.0292
303,-26.0858,27.7752
304,-32.559,27.4592
305,-30.8591,29.8538
306,-30.9588,29.3022
307,-29.1333,26.2
308,-25.8324,28.0901
309,-25.7347,28.4258
310,-26.34,28.156999999999996
311,-26.2167,28.25
312,-26.5833,27.8333
313,-26.0748,27.7531
314,-26.3833,27.8167
315,-25.9895,28.1284
316,-28.3167,31.4167
317,-29.6522,30.31
318,-29.5169,30.9269
319,-25.15,29.3833
320,-23.9045,29.4689
321,-23.3167,30.7167
322,-26.5333,29.9833
323,-26.55,29.1667
324,-24.5568,31.5245
325,-25.6667,27.25
326,-28.5354,24.5215
327,-33.9833,18.5667
328,-29.8579,31.0292
329,-29.8833,30.9
330,-26.3167,26.8167
331,-28.5587,29.779
332,-29.8579,31.0292
333,-29.8579,31.0292
334,-34.0167,18.55
335,-25.7449,28.1878
336,-29.9667,30.8833
337,-29.8579,31.0292
338,-27.7552,29.9346
339,-33.7601,24.8138
340,-31.8149,28.7618
341,-25.4308,27.8487
342,-26.3581,27.3981
343,-33.7653,25.4022
344,-26.2023,28.0436
345,-33.4998,26.8294
346,-29.7333,30.5833
347,-33.9253,18.4239
348,-33.4998,26.8294
349,-25.7449,28.1878
350,-31.1701,30.0616
351,-26.2023,28.0436
352,-27.1833,25.3333
353,-32.5708,27.424
354,-23.9045,29.4689
355,-33.0153,27.9116
356,-25.9166,28.1045
357,-22.95,30.4833
358,-26.19,28.049
359,-33.9355,18.6016
360,-34.0505,19.6088
361,-32.3333,28.15
362,-26.2891,27.8962
363,-25.4138,31.1749
364,-28.3754,29.3831
365,-29.8207,30.8867
366,-29.4667,30.2333
367,-27.1833,25.3333
368,-26.6939,27.7975
369,-33.9833,18.4
370,-26.3581,27.3981
371,-33.8467,22.4474
372,-32.9667,27.8
373,-33.9473,18.5751
374,-33.4613,18.7186
375,-25.8083,28.7406
376,-29.6167,30.3833
377,-25.4667,30.9667
378,-29.8579,31.0292
379,-31.0507,30.228
380,-25.0482,31.1311
381,-33.3042,26.5328
382,-29.8579,31.0292
383,-29.6167,30.3833
384,-26.3581,27.3981
385,-29.8889,30.8804
386,-25.7449,28.1878
387,-34.0731,18.5612
